Meanint	Meaning_ID	Word	List1	List2	Similarity
the axe/ax	3	йик1	{'йик1'}	{'як1', 'якьв', 'як1а', 'якlу', 'як1в', 'якв', 'юк1', 'екIв', 'юкв', 'ек1', 'юк1в', 'якlв', 'йик1', 'якьу', 'якIв', 'ек1в'}	DIFFERENT
the ball	4	dump	{'dump'}	{'ТОП2', 'toop', 'тур', 'top', 'toop-bazee', 'топ', 'туп', 'dump', 'тып'}	DIFFERENT
the ball	4	toop	{'ТОП2', 'toop', 'тур', 'top', 'toop-bazee', 'топ', 'туп', 'тып'}	{'ТОП2', 'toop', 'тур', 'top', 'toop-bazee', 'топ', 'туп', 'dump', 'тып'}	DIFFERENT
the barrel	5	bočka	{'бушка', 'пошк1а', 'пушк1а', 'пычка', 'рус', 'boçka', 'пучка', 'пычк1а', 'bočka', 'бучка', 'boshkeh', 'бычка', 'пошка', 'пышк1а', 'бочка', 'RUS', 'бошк1а'}	{'бушка', 'пошк1а', 'пушк1а', 'пычка', 'рус', 'boçka', 'пучка', 'пычк1а', 'bočka', 'бучка', 'boshkeh', 'бычка', 'пошка', 'метал - бочка', 'пышк1а', 'бочка', 'RUS', 'бошк1а'}	DIFFERENT
the barrel	5	çaləq	{'черма', 'черме', 'шалеги', 'челег подтвердил', 'челег(нп)', 'челег', 'челег(п но меньше)', 'çaləq', 'челеге', 'chelik'}	{'шалеги', 'челег подтвердил', 'челег(нп)', 'челег', 'челег(п но меньше)', 'çaləq', 'челеге', 'chelik'}	DIFFERENT
the barrel	5	метал - бочка	{'метал - бочка'}	{'бушка', 'пошк1а', 'пушк1а', 'пычка', 'рус', 'boçka', 'пучка', 'пычк1а', 'bočka', 'бучка', 'boshkeh', 'бычка', 'пошка', 'метал - бочка', 'пышк1а', 'бочка', 'RUS', 'бошк1а'}	DIFFERENT
the barrel	5	чарма	{'чарма', 'чирмá', 'черме'}	{'чарма', 'чирмá', 'черма', 'черме'}	DIFFERENT
the barrel	5	черма	{'черма', 'черме', 'шалеги', 'челег подтвердил', 'челег(нп)', 'челег', 'челег(п но меньше)', 'çaləq', 'челеге', 'chelik'}	{'чарма', 'чирмá', 'черма', 'черме'}	DIFFERENT
the bat	6	khoffaash	{'khoffaash'}	{'khoffash', 'khoffaash'}	DIFFERENT
the bat	6	khoffash	{'khoffash'}	{'khoffash', 'khoffaash'}	DIFFERENT
the bat	6	q'eɬːibožo	{"q'eɬːibožo"}	{'ʁamura', "q'eɬːibožo"}	DIFFERENT
the bat	6	ʁamura	{'ʁamura'}	{'ʁamura', "q'eɬːibožo"}	DIFFERENT
the bat	6	гедже учан	{'гедже учан'}	{'гедже учан', 'геджегезен'}	DIFFERENT
the bat	6	геджегезен	{'геджегезен'}	{'гедже учан', 'геджегезен'}	DIFFERENT
the bat	6	дергва	{'дергва'}	{'дергва', 'дергело'}	DIFFERENT
the bat	6	дергело	{'дергело'}	{'дергва', 'дергело'}	DIFFERENT
the bat	6	кьаркучубарукъ	{'кьаркучубарукъ'}	{'кьуркьулив', 'кьауркьулув', 'кьваркьыд', 'кьаркьулив', 'кьаркучубарукъ', 'кьауркьулив', 'кьаркьулув'}	DIFFERENT
the bat	6	кьаркьулив	{'кьуркьулив', 'кьауркьулув', 'кьаркьулив', 'кьауркьулив', 'кьаркьулув'}	{'кьуркьулив', 'кьауркьулув', 'кьваркьыд', 'кьаркьулив', 'кьаркучубарукъ', 'кьауркьулив', 'кьаркьулув'}	DIFFERENT
the bat	6	кьваркьыд	{'кьваркьыд'}	{'кьуркьулив', 'кьауркьулув', 'кьваркьыд', 'кьаркьулив', 'кьаркучубарукъ', 'кьауркьулив', 'кьаркьулув'}	DIFFERENT
the bat	6	хакара	{'хакара'}	{'ххикри', 'хакара'}	DIFFERENT
the bat	6	ххикри	{'ххикри'}	{'ххикри', 'хакара'}	DIFFERENT
the bat	6	хъархъаба	{'хъархъаба', 'хъырхъаба'}	{'хъархъаба', 'хъырхъаба', 'хъархъанаг'}	DIFFERENT
the bat	6	хъархъанаг	{'хъархъанаг'}	{'хъархъаба', 'хъырхъаба', 'хъархъанаг'}	DIFFERENT
the bat	6	ч1ала баппай	{'ч1ала баппай'}	{'чяляпапай', 'чалабапай', 'ч1ала баппай'}	DIFFERENT
the bat	6	ч1аппрахан	{'ч1аппрахан', 'шейтнин ччаппряхян', 'чапрахан', 'ч1апряхан'}	{'ч1ирч1апагь', '"ч1апряхан(нп - ""другое значение"")"', 'ч1аппряхъ подтвердил', 'ччаппряпп', 'ч1яп1рях п', 'ч1аппуряппу', 'ч1япряхиль', 'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1аппрях', 'ч1япрях', 'чапрасг1ул', 'ч1аппряпп', 'ч1апряхан', 'чапраб', 'ч1аппряхъ', 'ч1аппрахан', 'ч1аппрахил подтвердил', 'ччаппрях', 'ч1япряб', 'ч1апряхил', 'чапряхил', 'чапар', 'ччаппрхлинц', 'чапрахан', 'чяпрях', 'ч1аппрахил', 'ч1аппыряхъ'}	DIFFERENT
the bat	6	ч1аппрахил	{'чапряхил', 'ч1аппрахил подтвердил', 'ч1япряхиль', 'ч1аппрахил', 'ч1апряхил'}	{'ч1ирч1апагь', '"ч1апряхан(нп - ""другое значение"")"', 'ч1аппряхъ подтвердил', 'ччаппряпп', 'ч1яп1рях п', 'ч1аппуряппу', 'ч1япряхиль', 'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1аппрях', 'ч1япрях', 'чапрасг1ул', 'ч1аппряпп', 'ч1апряхан', 'чапраб', 'ч1аппряхъ', 'ч1аппрахан', 'ч1аппрахил подтвердил', 'ччаппрях', 'ч1япряб', 'ч1апряхил', 'чапряхил', 'чапар', 'ччаппрхлинц', 'чапрахан', 'чяпрях', 'ч1аппрахил', 'ч1аппыряхъ'}	DIFFERENT
the bat	6	ч1аппряпп	{'ч1аппряпп', 'чапраб', 'чяпрях', 'ч1аппряхъ', 'ч1япрях', 'ч1аппряхъ подтвердил', 'ччаппряпп', 'ч1яп1рях п', 'ч1аппуряппу', 'ч1яп1рях', 'ч1аппыряхъ', 'ч1япряб', 'чапурппурапу', 'ччаппрях', 'ч1аппрях'}	{'ч1ирч1апагь', '"ч1апряхан(нп - ""другое значение"")"', 'ч1аппряхъ подтвердил', 'ччаппряпп', 'ч1яп1рях п', 'ч1аппуряппу', 'ч1япряхиль', 'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1аппрях', 'ч1япрях', 'чапрасг1ул', 'ч1аппряпп', 'ч1апряхан', 'чапраб', 'ч1аппряхъ', 'ч1аппрахан', 'ч1аппрахил подтвердил', 'ччаппрях', 'ч1япряб', 'ч1апряхил', 'чапряхил', 'чапар', 'ччаппрхлинц', 'чапрахан', 'чяпрях', 'ч1аппрахил', 'ч1аппыряхъ'}	DIFFERENT
the bat	6	ч1ирч1апагь	{'ч1ирч1апагь'}	{'ч1ирч1апагь', '"ч1апряхан(нп - ""другое значение"")"', 'ч1аппряхъ подтвердил', 'ччаппряпп', 'ч1яп1рях п', 'ч1аппуряппу', 'ч1япряхиль', 'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1аппрях', 'ч1япрях', 'чапрасг1ул', 'ч1аппряпп', 'ч1апряхан', 'чапраб', 'ч1аппряхъ', 'ч1аппрахан', 'ч1аппрахил подтвердил', 'ччаппрях', 'ч1япряб', 'ч1апряхил', 'чапряхил', 'чапар', 'ччаппрхлинц', 'чапрахан', 'чяпрях', 'ч1аппрахил', 'ч1аппыряхъ'}	DIFFERENT
the bat	6	чалабапай	{'чяляпапай', 'чалабапай'}	{'чяляпапай', 'чалабапай', 'ч1ала баппай'}	DIFFERENT
the bat	6	чапар	{'чапар'}	{'ч1ирч1апагь', '"ч1апряхан(нп - ""другое значение"")"', 'ч1аппряхъ подтвердил', 'ччаппряпп', 'ч1яп1рях п', 'ч1аппуряппу', 'ч1япряхиль', 'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1аппрях', 'ч1япрях', 'чапрасг1ул', 'ч1аппряпп', 'ч1апряхан', 'чапраб', 'ч1аппряхъ', 'ч1аппрахан', 'ч1аппрахил подтвердил', 'ччаппрях', 'ч1япряб', 'ч1апряхил', 'чапряхил', 'чапар', 'ччаппрхлинц', 'чапрахан', 'чяпрях', 'ч1аппрахил', 'ч1аппыряхъ'}	DIFFERENT
the bat	6	чапрасг1ул	{'чапрасг1ул'}	{'ч1ирч1апагь', '"ч1апряхан(нп - ""другое значение"")"', 'ч1аппряхъ подтвердил', 'ччаппряпп', 'ч1яп1рях п', 'ч1аппуряппу', 'ч1япряхиль', 'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1аппрях', 'ч1япрях', 'чапрасг1ул', 'ч1аппряпп', 'ч1апряхан', 'чапраб', 'ч1аппряхъ', 'ч1аппрахан', 'ч1аппрахил подтвердил', 'ччаппрях', 'ч1япряб', 'ч1апряхил', 'чапряхил', 'чапар', 'ччаппрхлинц', 'чапрахан', 'чяпрях', 'ч1аппрахил', 'ч1аппыряхъ'}	DIFFERENT
the bat	6	чапурппурапу	{'ч1аппряпп', 'чапраб', 'чяпрях', 'ч1аппряхъ', 'ч1япрях', 'ч1аппряхъ подтвердил', 'ччаппряпп', 'ч1яп1рях п', 'ч1аппуряппу', 'ч1яп1рях', 'ч1аппыряхъ', 'ч1япряб', 'чапурппурапу', 'ччаппрях', 'ч1аппрях'}	{'чапурппурапу'}	DIFFERENT
the bat	6	ччаппрхлинц	{'ччаппрхлинц'}	{'ч1ирч1апагь', '"ч1апряхан(нп - ""другое значение"")"', 'ч1аппряхъ подтвердил', 'ччаппряпп', 'ч1яп1рях п', 'ч1аппуряппу', 'ч1япряхиль', 'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1аппрях', 'ч1япрях', 'чапрасг1ул', 'ч1аппряпп', 'ч1апряхан', 'чапраб', 'ч1аппряхъ', 'ч1аппрахан', 'ч1аппрахил подтвердил', 'ччаппрях', 'ч1япряб', 'ч1апряхил', 'чапряхил', 'чапар', 'ччаппрхлинц', 'чапрахан', 'чяпрях', 'ч1аппрахил', 'ч1аппыряхъ'}	DIFFERENT
the beak	7	khatm	{'khatm', 'muč'}	{'khatm'}	DIFFERENT
the beak	7	menghar	{'minqaar', 'minqaad', 'menghar'}	{'menghar'}	DIFFERENT
the beak	7	minqaad	{'minqaar', 'minqaad', 'menghar'}	{'minqaar', 'minqaad'}	DIFFERENT
the beak	7	muč	{'khatm', 'muč'}	{'muč'}	DIFFERENT
the beak	7	гъудзмудз	{'гъюзмюз', 'гъудзмудз', 'гъузмуз', 'гъюдзмюдз'}	{'гъюзмюз', 'гъузмуз', 'музмуз подтвердил', 'къуьзмуьз', 'музмуз', 'гъудзмудз', 'кьудзмудзу', 'гъюдзмюдз'}	DIFFERENT
the beak	7	гъямгъям	{'гъямгъям'}	{'рамрам', 'гъямгъям'}	DIFFERENT
the beak	7	къуьзмуьз	{'кьудзмудзу', 'музмуз', 'музмуз подтвердил', 'къуьзмуьз'}	{'гъюзмюз', 'гъузмуз', 'музмуз подтвердил', 'къуьзмуьз', 'музмуз', 'гъудзмудз', 'кьудзмудзу', 'гъюдзмюдз'}	DIFFERENT
the beak	7	мит	{'мит'}	{'миъи', 'мит'}	DIFFERENT
the beak	7	миъи	{'миъи'}	{'миъи', 'мит'}	DIFFERENT
the beak	7	рамрам	{'рамрам'}	{'рамрам', 'гъямгъям'}	DIFFERENT
the beard	8	bab	{'bab', 'баб'}	{'bab', 'баб', 'bameh'}	DIFFERENT
the beard	8	bameh	{'bameh'}	{'bab', 'баб', 'bameh'}	DIFFERENT
the beard	8	sak1al	{'saqqal', 'sak1al', 'цакъал', "saq'al - old", 'саккал', 'сакькьал', 'сахъал', 'цаккал', 'сахъхъал', "saq'ali", "saq'al", 'сакъал'}	{'хъардеш', 'saqqal', 'sak1al', 'цакъал', "saq'al - old", 'саккал', 'сакькьал', 'сахъал', 'цаккал', 'сахъхъал', "saq'ali", "saq'al", 'сакъал'}	DIFFERENT
the beard	8	МЕШÓЛГА	{'МЕШÓЛГА', 'мошолкIа'}	{'мижелълъу', 'МЕШÓЛГА', 'мошолкIа'}	DIFFERENT
the beard	8	мижелълъу	{'мижелълъу'}	{'мижелълъу', 'МЕШÓЛГА', 'мошолкIа'}	DIFFERENT
the beard	8	хъардеш	{'хъардеш'}	{'хъардеш', 'saqqal', 'sak1al', 'цакъал', "saq'al - old", 'саккал', 'сакькьал', 'сахъал', 'цаккал', 'сахъхъал', "saq'ali", "saq'al", 'сакъал'}	DIFFERENT
the beeswax	9	(перулъи) щиру	{'(перулъи) щиру'}	{'шир', 'щир', 'щиру', '(перулъи) щиру'}	DIFFERENT
the beeswax	9	moom	{'mum podtv', 'мум подтвердил', 'мым', 'мум', 'mum', 'moom', 'мум тоже есть'}	{'mum podtv', 'mum', 'moom'}	DIFFERENT
the beeswax	9	sham'	{"sham'"}	{'шам', 'шам подтвердил', "sham'", 'шям', 'шямар', 'шем'}	DIFFERENT
the beeswax	9	мук1	{'мук1 п', 'мук1'}	{'мук1 п', 'найил', 'мук1'}	DIFFERENT
the beeswax	9	мум	{'mum podtv', 'мум подтвердил', 'мым', 'мум', 'mum', 'moom', 'мум тоже есть'}	{'мум', '*мум', 'мум подтвердил', 'мым'}	DIFFERENT
the beeswax	9	мум тоже есть	{'mum podtv', 'мум подтвердил', 'мым', 'мум', 'mum', 'moom', 'мум тоже есть'}		NOT IN LIST 2
the beeswax	9	найил	{'найил'}	{'мук1 п', 'найил', 'мук1'}	DIFFERENT
the beeswax	9	шам	{'шам', 'шам подтвердил', 'шир', 'шям', 'шямар', 'шем'}	{'шам', 'шам подтвердил', "sham'", 'шям', 'шямар', 'шем'}	DIFFERENT
the beeswax	9	шир	{'шам', 'шам подтвердил', 'шир', 'шям', 'шямар', 'шем'}	{'шир', 'щир', 'щиру', '(перулъи) щиру'}	DIFFERENT
the beeswax	9	щир	{'щир', 'щиру'}	{'шир', 'щир', 'щиру', '(перулъи) щиру'}	DIFFERENT
the belt	10	band	{'band', 'ч1урут1у'}	{'band'}	DIFFERENT
the belt	10	daval	{'чату - пояс', 'daval'}	{'daval'}	DIFFERENT
the belt	10	kamar	{'kamari', 'kamar', 'камар', 'къемер', 'kəmər', 'kəmar', 'кемер', 'qəmər'}	{'kamari', 'kamar', 'kəmar', 'kəmər'}	DIFFERENT
the belt	10	qayış	{'къайыш', 'къайиш', 'qayış'}	{'къайыш', 'къайиш', 'хъайиш', 'qayış'}	DIFFERENT
the belt	10	qəmər	{'kamari', 'kamar', 'камар', 'къемер', 'kəmər', 'kəmar', 'кемер', 'qəmər'}	{'qəmər'}	DIFFERENT
the belt	10	remen	{'remen', 'ремень'}	{'remen'}	DIFFERENT
the belt	10	ýлъ1	{'ýлъ1', 'илъоб', 'илъ'}	{'ýлъ1'}	DIFFERENT
the belt	10	гIарщ	{'гIарщ'}	{'гъяиш', 'гъяйиш', 'гIарщ'}	DIFFERENT
the belt	10	гъяиш	{'гъяиш', 'гъяйиш'}	{'гъяиш', 'гъяйиш', 'гIарщ'}	DIFFERENT
the belt	10	доьхка	{'тохкъа', 'доьхка'}	{'доьхка'}	DIFFERENT
the belt	10	илъ	{'ýлъ1', 'илъоб', 'илъ'}	{'илъоб', 'илъ'}	DIFFERENT
the belt	10	камар	{'kamari', 'kamar', 'камар', 'къемер', 'kəmər', 'kəmar', 'кемер', 'qəmər'}	{'кемер', 'къемер', 'камар'}	DIFFERENT
the belt	10	ремень	{'remen', 'ремень'}	{'ремень'}	DIFFERENT
the belt	10	тохкъа	{'тохкъа', 'доьхка'}	{'тохкъа'}	DIFFERENT
the belt	10	хъайиш	{'хъайиш'}	{'къайыш', 'къайиш', 'хъайиш', 'qayış'}	DIFFERENT
the belt	10	ч1урут1у	{'band', 'ч1урут1у'}	{'ч1урут1у'}	DIFFERENT
the belt	10	чату - пояс	{'чату - пояс', 'daval'}	{'чату - пояс'}	DIFFERENT
the blanket	11	jorʁan	{'yorğan podtv', 'йоргъан', 'yorɣan', 'jorʁan', 'кюрган', 'jurʁan', 'yorğan', 'юргъан подтвердил', 'иргъан', 'ёргъан', 'йургъан', 'yorğan савали podtv', 'ергъан', 'ювургъан', 'юргъан', 'ургъан', 'юргъан п', 'verʁan', 'яргъан'}	{'yorğan podtv', 'йоргъан', 'yorɣan', 'jorʁan', 'кюрган', 'jurʁan', 'yorğan', 'юргъан подтвердил', 'иргъан', 'ёргъан', 'йургъан', 'yorğan савали podtv', 'игъва', 'ергъан', 'ювургъан', 'юргъан', 'ургъан', 'юргъан п', 'яргъан'}	DIFFERENT
the blanket	11	lihaaf	{'lihaaf'}	{'ляа1ф', 'леэф', 'лииф', 'лееф', 'lihaaf', 'лиъиф', 'лег1еф', 'лехIеф', 'леъеф', 'леэф подтвердил', 'леъэф', 'ляъяф'}	DIFFERENT
the blanket	11	verʁan	{'yorğan podtv', 'йоргъан', 'yorɣan', 'jorʁan', 'кюрган', 'jurʁan', 'yorğan', 'юргъан подтвердил', 'иргъан', 'ёргъан', 'йургъан', 'yorğan савали podtv', 'ергъан', 'ювургъан', 'юргъан', 'ургъан', 'юргъан п', 'verʁan', 'яргъан'}	{'verʁan'}	DIFFERENT
the blanket	11	игъва	{'игъва'}	{'yorğan podtv', 'йоргъан', 'yorɣan', 'jorʁan', 'кюрган', 'jurʁan', 'yorğan', 'юргъан подтвердил', 'иргъан', 'ёргъан', 'йургъан', 'yorğan савали podtv', 'игъва', 'ергъан', 'ювургъан', 'юргъан', 'ургъан', 'юргъан п', 'яргъан'}	DIFFERENT
the blanket	11	лег1еф	{'ляа1ф', 'леэф', 'лииф', 'лееф', 'лиъиф', 'лег1еф', 'лехIеф', 'леъеф', 'леэф подтвердил', 'леъэф', 'ляъяф'}	{'ляа1ф', 'леэф', 'лииф', 'лееф', 'lihaaf', 'лиъиф', 'лег1еф', 'лехIеф', 'леъеф', 'леэф подтвердил', 'леъэф', 'ляъяф'}	DIFFERENT
the blister	12	pil (2)	{'pil (2)'}	{'ПУЛ', 'пул', 'pil (2)', 'пули', 'пул т1амид'}	DIFFERENT
the blister	12	qabar	{'къабар', 'qabar podtv', 'qabar', 'къабар подтвердил', 'кабар', 'хъабар', 'абар'}	{'къабар', 'qabar podtv', 'qabar', 'къабар подтвердил', 'кабар', 'хъабар'}	DIFFERENT
the blister	12	абар	{'къабар', 'qabar podtv', 'qabar', 'къабар подтвердил', 'кабар', 'хъабар', 'абар'}	{'абар'}	DIFFERENT
the blister	12	гъе1де1гъ	{'гъе1де1гъ', 'гъыдигъ', 'гъеди', 'гъеди?'}	{'гъе1де1гъ', 'гъыдигъ', 'гъеди'}	DIFFERENT
the blister	12	гъеди?	{'гъе1де1гъ', 'гъыдигъ', 'гъеди', 'гъеди?'}		NOT IN LIST 2
the blister	12	гьаНк1ва	{'гьаНк1ва'}	{'рикьилъи гьанк1ва', 'гьаНк1ва', 'рикьил1л гьанк1о'}	DIFFERENT
the blister	12	илцибкъу тIур	{'илцибкъу тIур'}	{'илцибкъу тIур', 'т1ур'}	DIFFERENT
the blister	12	к1аш	{'к1аш', 'к1шар', 'кишк1ир', 'кишкIир', 'к1ешк1ер подтвердил', 'кIеш', 'к1аша', 'к1ишкар', 'кlаш', 'кьаш', 'к1еш', 'кьаш п', 'к1ашша', 'к1ашк', 'к1ешк1ер', 'к1ишкир'}	{'к1аш', 'к1шар', 'ч1ишкир', 'кишк1ир', 'кишкIир', 'к1ешк1ер подтвердил', 'кIеш', 'к1аша', 'к1ишкар', 'кlаш', 'кьаш', 'к1еш', 'кьаш п', 'к1ашша', 'ч1ихкир', 'к1ашк', 'к1ешк1ер', 'к1ишкир'}	DIFFERENT
the blister	12	кткур	{'ныц1', 'кткур', 'куркур', 'кыркыр'}	{'кыркыр', 'хьурхьур подтвердил', 'кткур', 'куркур', 'хьурхьур'}	DIFFERENT
the blister	12	къатыв	{'п1якь', 'къатыв', 'п1акьа', 'п1якья'}	{'къатыв'}	DIFFERENT
the blister	12	къегар	{'къегар', 'парахъур'}	{'къегар'}	DIFFERENT
the blister	12	ныц1	{'ныц1', 'кткур', 'куркур', 'кыркыр'}	{'ныц1'}	DIFFERENT
the blister	12	п1акьа	{'п1якь', 'къатыв', 'п1акьа', 'п1якья'}	{'пинкьа', 'п1акьа', 'пинкье', 'пинкь', 'пиНкьа', 'п1якь', 'п1якья'}	DIFFERENT
the blister	12	парахъур	{'къегар', 'парахъур'}	{'хъурхъурай', 'парахъур', 'х1урх1урар \\не уверен насчет х1\\'}	DIFFERENT
the blister	12	пинкь	{'пинкьа', 'пинкье', 'пиНкьа', 'пинкь'}	{'пинкьа', 'п1акьа', 'пинкье', 'пинкь', 'пиНкьа', 'п1якь', 'п1якья'}	DIFFERENT
the blister	12	пул	{'пул', 'пули', 'ПУЛ', 'пул т1амид'}	{'ПУЛ', 'пул', 'pil (2)', 'пули', 'пул т1амид'}	DIFFERENT
the blister	12	рикьил1л гьанк1о	{'рикьилъи гьанк1ва', 'рикьил1л гьанк1о'}	{'рикьилъи гьанк1ва', 'гьаНк1ва', 'рикьил1л гьанк1о'}	DIFFERENT
the blister	12	т1ур	{'т1ур'}	{'илцибкъу тIур', 'т1ур'}	DIFFERENT
the blister	12	х1урх1урар \не уверен насчет х1\	{'х1урх1урар \\не уверен насчет х1\\'}	{'хъурхъурай', 'парахъур', 'х1урх1урар \\не уверен насчет х1\\'}	DIFFERENT
the blister	12	хер	{'хер'}	{'хер', 'хьа1хьа1т1'}	DIFFERENT
the blister	12	хъурхъурай	{'хъурхъурай', 'хьурхьур подтвердил', 'хьурхьур'}	{'хъурхъурай', 'парахъур', 'х1урх1урар \\не уверен насчет х1\\'}	DIFFERENT
the blister	12	хьа1хьа1т1	{'хьа1хьа1т1'}	{'хер', 'хьа1хьа1т1'}	DIFFERENT
the blister	12	хьурхьур	{'хъурхъурай', 'хьурхьур подтвердил', 'хьурхьур'}	{'кыркыр', 'хьурхьур подтвердил', 'кткур', 'куркур', 'хьурхьур'}	DIFFERENT
the blister	12	ч1ихкир	{'ч1ихкир', 'ч1ишкир'}	{'к1аш', 'к1шар', 'ч1ишкир', 'кишк1ир', 'кишкIир', 'к1ешк1ер подтвердил', 'кIеш', 'к1аша', 'к1ишкар', 'кlаш', 'кьаш', 'к1еш', 'кьаш п', 'к1ашша', 'ч1ихкир', 'к1ашк', 'к1ешк1ер', 'к1ишкир'}	DIFFERENT
the boar	13	2) жили сил	{'2) жили сил'}		NOT IN LIST 2
