Meanint	Meaning_ID	Word	List1	List2	Similarity
the ant	1	рецен	{'РЕЦÉНЙО', 'рецен'}	{'рецен'}	DIFFERENT
the ant	1	симсири	{'симсири'}	{'зибз', 'зимзак', 'зивз', 'симсири', 'zimzu', 'зимс', 'зимзар', 'зимз'}	DIFFERENT
the ant	1	танц1ц1а	{'танц1ц1а'}	{'лъанц1и', 'лъанц1', 'лъарц1ц1е', 'танц1ц1а', 'лъанц1ц1и'}	DIFFERENT
the ant	1	ц1уц1ра	{'ц1уц1ра', 'цIунцIра', 'цвез'}	{'ц1уц1ра', 'цIунцIра'}	DIFFERENT
the ant	1	цахцар	{'дзыдзахъ', 'цыцах', 'дзыдзах', 'дзы1хцар', 'цыхцар', 'дзыдза1хъ', 'цахцар'}	{'цыхцар', 'цыцах', 'цахцар'}	DIFFERENT
the ant	1	цвез	{'ц1уц1ра', 'цIунцIра', 'цвез'}	{'цвез'}	DIFFERENT
the arch	2	(полу-)чарх	{'(полу-)чарх', 'чарх', 'чарх п'}	{'(полу-)чарх', 'чарх', 'чарх п', '*чарх'}	DIFFERENT
the arch	2	ад	{'акъва', 'ад'}	{'ад'}	DIFFERENT
the arch	2	акъва	{'акъва', 'ад'}	{'акъва'}	DIFFERENT
the arch	2	мо???	{'мо???'}		NOT IN LIST 2
the axe/ax	3	suldi	{'suldi'}	{'tsuldi - big axe', 'tsuld podtv', 'tsuld', 'suldi', 'tsuli', 'tsuldi'}	DIFFERENT
the axe/ax	3	tabar	{'tabar', 'tabərzan'}	{'tabar', 'tapori', 'топор', 'tabərzan', 'yaq', 'tapor'}	DIFFERENT
the axe/ax	3	tapor	{'tapor', 'tapori', 'топор'}	{'tabar', 'tapori', 'топор', 'tabərzan', 'yaq', 'tapor'}	DIFFERENT
the axe/ax	3	tsuld	{'tsuldi - big axe', 'tsuld podtv', 'tsuld', 'tsuli', 'tsuldi'}	{'tsuldi - big axe', 'tsuld podtv', 'tsuld', 'suldi', 'tsuli', 'tsuldi'}	DIFFERENT
the axe/ax	3	yaq	{'yaq'}	{'tabar', 'tapori', 'топор', 'tabərzan', 'yaq', 'tapor'}	DIFFERENT
the axe/ax	3	ажите	{'анжитобо', 'анжито(бо)', 'аНжито', 'ажите'}	{'г1анжит', 'аНжито', 'анжитобо', 'анжито(бо)', 'ажите'}	DIFFERENT
the axe/ax	3	г1анжит	{'г1анжит'}	{'г1анжит', 'аНжито', 'анжитобо', 'анжито(бо)', 'ажите'}	DIFFERENT
the axe/ax	3	ек1	{'юк1в', 'ек1', 'якlв', 'як1в', 'якlу', 'якв', 'якIв', 'якьв', 'ек1в', 'як1', 'якьу', 'як1а', 'екIв', 'юкв', 'юк1'}	{'юк1в', 'ек1', 'якlв', 'як1в', 'якlу', 'якв', 'якIв', 'якьв', 'йик1', 'ек1в', 'як1', 'якьу', 'як1а', 'екIв', 'юкв', 'юк1'}	DIFFERENT
the axe/ax	3	йик1	{'йик1'}	{'юк1в', 'ек1', 'якlв', 'як1в', 'якlу', 'якв', 'якIв', 'якьв', 'йик1', 'ек1в', 'як1', 'якьу', 'як1а', 'екIв', 'юкв', 'юк1'}	DIFFERENT
the ball	4	dump	{'dump'}	{'toop-bazee', 'top', 'топ', 'toop', 'dump'}	DIFFERENT
the ball	4	toop	{'топ', 'toop-bazee', 'toop', 'top'}	{'toop-bazee', 'top', 'топ', 'toop', 'dump'}	DIFFERENT

