Concept	Concept nr.	List ID	Word	Stem	Set	Confirmed	Comment	Source	Mediator
the arch	2	67	чарх	1					
the arch	2	69	чарх	1					
the arch	2	78	чарх	1					
the arch	2	79	чарх	1					
the arch	2	80	чарх	1					
the arch	2	81	чарх	1					
the arch	2	82	чарх	1					
the arch	2	87	чарх	1					
the arch	2	88	чарх	1					
the arch	2	89	чарх	1					
the arch	2	91	чарх	1					
the arch	2	92	чарх	1					
the arch	2	93	чарх	1					
the arch	2	94	чарх	1					
the arch	2	95	чарх	1					
the arch	2	112	чарх	1					
the arch	2	120	чарх	1					
the arch	2	119	чарх п	1					
the arch	2	133	чербен	18					
the axe/ax	3	13	balta	1					
the axe/ax	3	26	balta	1					
the axe/ax	3	52	balta	1					
the axe/ax	3	100	balta	1					
the axe/ax	3	101	balta	1					
the axe/ax	3	102	balta	1					
the axe/ax	3	106	balta	1					
the axe/ax	3	107	balta	1					
the axe/ax	3	108	balta	1					
the axe/ax	3	133	balta	1					
the axe/ax	3	11	fa's	2					
the axe/ax	3	139	fas	2					
the axe/ax	3	9	NA	NA					
the axe/ax	3	16	NA	NA					
the axe/ax	3	111	NA	NA					
the axe/ax	3	138	NA	NA					
the axe/ax	3	139	nachakh	3					
the axe/ax	3	14	õg	4					
the axe/ax	3	141	õg	4				Non loan	
the axe/ax	3	96	suldi	5					
the axe/ax	3	11	tabar	6					
the axe/ax	3	139	tabar	6					
the axe/ax	3	140	tabərzan	6				Russian	
the axe/ax	3	104	tapor	6					
the axe/ax	3	103	tapori	6					
the axe/ax	3	105	tapori	6					
the axe/ax	3	1	tsuld	5					
the axe/ax	3	103	tsuld podtv	5					
the axe/ax	3	104	tsuldi	5					
the axe/ax	3	105	tsuldi - big axe	5					
the axe/ax	3	17	tsuli	5					
the axe/ax	3	97	tsuli	5					
the axe/ax	3	110	yaq	6					
the axe/ax	3	139	zin	7					
the axe/ax	3	113	ажите	8					
the axe/ax	3	114	ажите	8					
the axe/ax	3	19	аНжито	8					
the axe/ax	3	55	аНжито	8					
the axe/ax	3	56	аНжито	8					
the axe/ax	3	54	анжито(бо)	8					
the axe/ax	3	53	анжитобо	8					
the axe/ax	3	20	балта	1					
the axe/ax	3	23	балта	1					
the axe/ax	3	27	балта	1					
the axe/ax	3	28	балта	1					
the axe/ax	3	29	балта	1					
the axe/ax	3	29	балта	1					
the axe/ax	3	31	балта	1					
the axe/ax	3	32	балта	1					
the axe/ax	3	48	балта	1					
the axe/ax	3	49	балта	1					
the axe/ax	3	50	балта	1					
the axe/ax	3	51	балта	1					
the axe/ax	3	81	балта	1					
the axe/ax	3	82	балта	1					
the axe/ax	3	86	балта	1					
the axe/ax	3	87	балта	1					
the axe/ax	3	88	балта	1					
the axe/ax	3	112	балта	1					
the axe/ax	3	134	балта	1					
the axe/ax	3	135	балта	1					
the axe/ax	3	136	балта	1					
the axe/ax	3	137	балта	1					
the axe/ax	3	37	беретта	9					
the axe/ax	3	38	беретта	9					
the axe/ax	3	39	беретта	9					
the axe/ax	3	40	беретта	9					
the axe/ax	3	41	беретта	9					
the axe/ax	3	42	беретта	9					
the axe/ax	3	43	беретта	9					
the axe/ax	3	44	беретта	9					
the axe/ax	3	126	г1анжит	8					
the axe/ax	3	12	гIащтIи	10					
the axe/ax	3	25	ГIО	11					
the axe/ax	3	83	ГIО	11					
the axe/ax	3	84	ГIО	11					
the axe/ax	3	85	ГIО	11					
the axe/ax	3	15	диг	12					
the axe/ax	3	62	ек1	13					
the axe/ax	3	63	ек1	13					
the axe/ax	3	64	ек1	13					
the axe/ax	3	90	ек1в	13					
the axe/ax	3	91	ек1в	13					
the axe/ax	3	24	екIв	13					
the axe/ax	3	65	екIв	13					
the axe/ax	3	18	ишину	14					
the axe/ax	3	95	йик1	13					
the axe/ax	3	66	наджах	3					
the axe/ax	3	67	наджах	3					
the axe/ax	3	70	наджах	3					
the axe/ax	3	68	нажах	3					
the axe/ax	3	69	нажах	3					
the axe/ax	3	18	ог	4					
the axe/ax	3	8	оНг	4					
the axe/ax	3	22	топор	6					
the axe/ax	3	63	юк1	13					
the axe/ax	3	71	юк1	13					
the axe/ax	3	72	юк1	13					
the axe/ax	3	73	юк1	13					
the axe/ax	3	74	юк1	13					
the axe/ax	3	75	юк1	13					
the axe/ax	3	93	юк1	13					
the axe/ax	3	94	юк1	13					
the axe/ax	3	92	юк1в	13					
the axe/ax	3	76	юкв	13					
the axe/ax	3	2	як1	13					
the axe/ax	3	3	як1	13					
the axe/ax	3	4	як1	13					
the axe/ax	3	5	як1	13					
the axe/ax	3	6	як1	13					
the axe/ax	3	35	як1	13					
the axe/ax	3	57	як1	13					
the axe/ax	3	58	як1	13					
the axe/ax	3	60	як1	13					
the axe/ax	3	115	як1	13					
the axe/ax	3	116	як1	13					
the axe/ax	3	117	як1	13					
the axe/ax	3	121	як1	13					
the axe/ax	3	122	як1	13					
the axe/ax	3	124	як1	13					
the axe/ax	3	125	як1	13					
the axe/ax	3	127	як1	13					
the axe/ax	3	128	як1	13					
the axe/ax	3	130	як1	13					
the axe/ax	3	131	як1	13					
the axe/ax	3	33	як1а	13					
the axe/ax	3	34	як1а	13					
the axe/ax	3	36	як1а	13					
the axe/ax	3	7	як1в	13					
the axe/ax	3	21	як1в	13					
the axe/ax	3	45	як1в	13					
the axe/ax	3	46	як1в	13					
the axe/ax	3	47	як1в	13					
the axe/ax	3	78	як1в	13					
the axe/ax	3	79	як1в	13					
the axe/ax	3	80	як1в	13					
the axe/ax	3	89	як1в	13					
the axe/ax	3	98	як1в	13					
the axe/ax	3	99	як1в	13					
the axe/ax	3	123	як1в	13					
the axe/ax	3	10	якIв	13					
the axe/ax	3	109	якIв	13					
the axe/ax	3	120	якIв	13					
the axe/ax	3	129	якlв	13					
the axe/ax	3	59	якlу	13					
the axe/ax	3	77	якв	13					
the axe/ax	3	118	якьв	13					
the axe/ax	3	119	якьв	13					
the axe/ax	3	132	якьв	13					
the axe/ax	3	61	якьу	13					
the ball	4	1	burti	1					
the ball	4	17	burti	1					
the ball	4	96	burti	1					
the ball	4	97	burti	1					
the ball	4	103	burti	1					
the ball	4	104	burti	1					
the ball	4	105	burti	1					
the ball	4	140	dump	2				Unidentified	
the ball	4	11	kura	3					
the ball	4	14	NA	NA					
the ball	4	85	NA	NA					
the ball	4	141	šar	4				Russian	
the ball	4	139	toop	2					
the ball	4	139	toop-bazee	2					
the ball	4	52	top	2					
the ball	4	100	top	2					
the ball	4	101	top	2					
the ball	4	102	top	2					
the ball	4	104	top	2					
the ball	4	106	top	2					
the ball	4	107	top	2					
the ball	4	108	top	2					
the ball	4	15	буьрка	5					
the ball	4	10	гирген	6					
the ball	4	113	гужила	7					
the ball	4	114	гужила	7					
the ball	4	9	к1ак1у	8					
the ball	4	84	к1ох1ло	9					
the ball	4	83	к1ох1о	9					
the ball	4	18	кIохIло	9					
the ball	4	8	кирка	10					
the ball	4	22	мяч	11					
the ball	4	37	мяч	11					
the ball	4	38	мяч	11					
the ball	4	39	мяч	11					
the ball	4	40	мяч	11					
the ball	4	54	со-соло	12					
the ball	4	19	соло-соло	12					
the ball	4	53	соло-соло	12					
the ball	4	54	соло-соло	12					
the ball	4	55	соло-соло	12					
the ball	4	56	соло-соло	12					
the ball	4	13	топ	2					
the ball	4	20	топ	2					
the ball	4	26	топ	2					
the ball	4	45	топ	2					
the ball	4	46	топ	2					
the ball	4	47	топ	2					
the ball	4	98	топ	2					
the ball	4	99	топ	2					
